StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q52,Q1,Q1_9_TEXT,Q25,Q26,Q26_6_TEXT,Q27,Q27_9_TEXT,Q28,Q28_4_TEXT,Q29,Q29_3_TEXT,Q2,Q3,Q4,Q5,Q6,Q10,Q30,Q31,Q34,Q36,Q37,Q39,Q11,Q12,Q13,Q22,Q23,Q53_1,Q53_2,Q53_3,Q53_4,Q53_5,SC0
2022-05-17 09:36:17,2022-05-17 09:46:35,IP Address,130.189.152.188,100,617,True,2022-05-17 09:46:36,R_Dvr388JEQhAvWLf,,,,,43.6444,-72.2455,anonymous,EN,Click here if you consent to participate in the research study,1st Year Resident,,26-32,Female,,White,,Non-Hispanic,,English,,Some,Very little,Somewhat knowledgable,"I would like to know more about specific medication management for DD, because I am aware that which medications are ideal can vary and that sometimes, antipsychotics are relied upon too heavily in this population ","Anxiety, Depression, & Trauma-Related Disorders",Not sure - maybe positive reinforcement of behaviors that we want to see rather than pathologizing other behaviors,"Because in the past, there hasn't been this recognition of neurodiversity and it can lead to not appreciating the good parts of those with DD. ","In order to receive IDD services, the person must have a diagnosed intellectual or developmental disability, and must have impaired adaptive functioning,Medical providers may need to engage family members and other caregivers in the patient’s care,The person’s case manager/service coordinator from the developmental disabilities service agency could be helpful at medical appointments","Neurological disorder(s),Cardiovascular disease,GI problems (ex: constipation, GERD)","Medical/biological issues should be ruled out first,Some genetic disorders can cause increased risk of mental health or medical issues,Constipation, dental pain and gastroesphogeal reflux are common medical causes of aggression that should be considered,Behavior is a form of communication",Talking to inanimate objects,"talking to themselves, monologue,Auditory hallucinations that are intrusive and distressing,Change from baseline behavior","relating to a patient in a way that fits their cultural context. For example, in some cultures it's normal to believe in spirits so saying they are communicating with them is less likely to be true AVH. ","Ask your patient exploratory questions,Ask questions other than that directly pertain to the reason for the visit","Defer to the person’s caregiver,Give the patient the option to wait outside or in the car","Extensive, long-term behavior modification treatment",risperidone,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Strongly Agree,15
2022-07-07 14:54:56,2022-07-07 14:55:53,IP Address,130.189.37.46,10,56,False,2022-07-14 14:55:54,R_2c5XlGMnZMHLDkK,,,,,,,anonymous,EN,Click here if you consent to participate in the research study,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-16 07:48:32,2022-07-16 08:04:42,IP Address,130.189.175.152,100,969,True,2022-07-16 08:04:42,R_3qQE882YFYV9Bqq,,,,,43.6444,-72.2455,anonymous,EN,Click here if you consent to participate in the research study,3rd Year Medical Student,,33-40,Female,,White,,Non-Hispanic,,English,,Very little,Very little,Slightly knowledgeable,What psychiatrics conditions commonly present in patient with ID/DD?,"Anxiety, Depression, & Trauma-Related Disorders","I don't know what positive medicine is. ","To prevent overmedication, polypharmacy effects, and other forms of inappropriate care. ","In order to receive IDD services, the person must have a diagnosed intellectual or developmental disability, and must have impaired adaptive functioning,Medical providers may need to engage family members and other caregivers in the patient’s care,The person’s case manager/service coordinator from the developmental disabilities service agency could be helpful at medical appointments","Pain (ex: dental, ear),Cardiovascular disease,GI problems (ex: constipation, GERD)","Medical/biological issues should be ruled out first,Some genetic disorders can cause increased risk of mental health or medical issues,Constipation, dental pain and gastroesphogeal reflux are common medical causes of aggression that should be considered,Behavior is a form of communication",Talking to inanimate objects,"talking to themselves, monologue,Auditory hallucinations that are intrusive and distressing,Change from baseline behavior,Covering ears/eyes","Care that acknowledges and respects patients' individual beliefs, cultural practices, and ideology.   ",Ask your patient exploratory questions,"Get a copy of their behavior plan for the next time they are in your office,Give the patient the option to wait outside or in the car","Extensive, long-term behavior modification treatment","lithium,aripiprazole",Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,14
2022-07-17 06:46:59,2022-07-17 15:10:23,IP Address,50.223.140.130,10,30203,False,2022-07-24 15:10:25,R_rjQsgRmbqw7QCNX,,,,,,,anonymous,EN,Click here if you consent to participate in the research study,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-20 10:39:02,2022-07-20 10:39:20,IP Address,130.189.158.164,5,18,False,2022-07-27 10:39:23,R_XRfwVYsU2Mgx3Nv,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-04 05:28:14,2022-08-04 05:32:42,IP Address,71.192.139.80,100,268,True,2022-08-04 05:32:43,R_2U9msvF3FnRpBII,,,,,43.6444,-72.2455,anonymous,EN,Click here if you consent to participate in the research study,4th Year Resident,,26-32,Male,,White,,Non-Hispanic,,English,,Some,Very little,Slightly knowledgeable,"What resources can best be used to support families. ","Anxiety, Depression, & Trauma-Related Disorders","Medicine that has more benefit than detriment for the patient. ","Because that population exists and is often under served and under studied. ","In order to receive IDD services, the person must have a diagnosed intellectual or developmental disability, and must have impaired adaptive functioning","Pain (ex: dental, ear),Cardiovascular disease,GI problems (ex: constipation, GERD)","Medical/biological issues should be ruled out first,Some genetic disorders can cause increased risk of mental health or medical issues,Constipation, dental pain and gastroesphogeal reflux are common medical causes of aggression that should be considered,Behavior is a form of communication",Talking to inanimate objects,Auditory hallucinations that are intrusive and distressing,"Care with a solid understanding of the patients specific culture. ",Ask questions other than that directly pertain to the reason for the visit,Get a copy of their behavior plan for the next time they are in your office,An extensive review of previous diagnoses and treatment,"lithium,quetiapine,divalproex,aripiprazole,risperidone,cariprazine",Somewhat Agree,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,11
2022-08-04 07:10:23,2022-08-04 07:10:31,IP Address,130.189.175.200,100,7,True,2022-08-04 07:10:31,R_12yADfMM1M61WkK,,,,,43.6444,-72.2455,anonymous,EN,Click here if you decline to participate in the research study,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-04 07:07:52,2022-08-04 07:13:52,IP Address,130.189.175.144,100,359,True,2022-08-04 07:13:52,R_2414UkZy1uaXRu5,,,,,43.6444,-72.2455,qr,EN,Click here if you consent to participate in the research study,3rd Year Resident,,33-40,Female,,White,,Non-Hispanic,,English,,Some,None,Not knowledgeable at all,How to diagnose & how to support families,"Anxiety, Depression, & Trauma-Related Disorders",No idea,To support patients,"In order to receive IDD services, the person must have a diagnosed intellectual or developmental disability, and must have impaired adaptive functioning,Medical providers may need to engage family members and other caregivers in the patient’s care,The person’s case manager/service coordinator from the developmental disabilities service agency could be helpful at medical appointments","Asthma,Pain (ex: dental, ear),GI problems (ex: constipation, GERD)","Medical/biological issues should be ruled out first,Some genetic disorders can cause increased risk of mental health or medical issues,Constipation, dental pain and gastroesphogeal reflux are common medical causes of aggression that should be considered,Behavior is a form of communication",Running away,"Auditory hallucinations that are intrusive and distressing,Change from baseline behavior,Covering ears/eyes",Taking into account cultural preferences,"Ask your patient exploratory questions,Ask questions other than that directly pertain to the reason for the visit","Get a copy of their behavior plan for the next time they are in your office,Give the patient the option to wait outside or in the car","Extensive, long-term behavior modification treatment","quetiapine,risperidone",Somewhat Agree,Somewhat Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,18
2022-08-04 07:07:50,2022-08-04 07:15:10,IP Address,130.189.175.144,100,440,True,2022-08-04 07:15:11,R_3EKZkySRiJ3dBDd,,,,,43.6444,-72.2455,qr,EN,Click here if you consent to participate in the research study,3rd Year Resident,,26-32,Female,,Asian Indian,,Other,Indian,English,,Some,Very little,Slightly knowledgeable,How to approach patients with ID,"Anxiety, Depression, & Trauma-Related Disorders","Positive relationship with healthcare providers ","Significant subset of population ","In order to receive IDD services, the person must have a diagnosed intellectual or developmental disability, and must have impaired adaptive functioning","Neurological disorder(s),Asthma,Pain (ex: dental, ear)","Constipation, dental pain and gastroesphogeal reflux are common medical causes of aggression that should be considered",Increased repetitive speech and movement,Unusual interests,"Understanding background of patients ",Ask your patient exploratory questions,"Get a copy of their behavior plan for the next time they are in your office,Give the patient the option to wait outside or in the car",An extensive review of previous diagnoses and treatment,divalproex,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,6
2022-08-04 07:07:46,2022-08-04 07:15:40,IP Address,130.189.175.148,100,473,True,2022-08-04 07:15:40,R_3RsfTQxzfLmKXnj,,,,,43.6444,-72.2455,qr,EN,,3rd Year Resident,,26-32,Male,,White,,Non-Hispanic,,English,,Some,Very little,Somewhat knowledgable,"What are the services that I should be aware of? ","Anxiety, Depression, & Trauma-Related Disorders",I am not sure,"To decrease stigma. ","In order to receive IDD services, the person must have a diagnosed intellectual or developmental disability, and must have impaired adaptive functioning","Pain (ex: dental, ear),Cardiovascular disease,GI problems (ex: constipation, GERD)","Medical/biological issues should be ruled out first,Some genetic disorders can cause increased risk of mental health or medical issues,Constipation, dental pain and gastroesphogeal reflux are common medical causes of aggression that should be considered,Behavior is a form of communication",Talking to inanimate objects,"talking to themselves, monologue,Auditory hallucinations that are intrusive and distressing,Change from baseline behavior,Covering ears/eyes",One that is sensitive to needs,Ask your patient exploratory questions,Give the patient the option to wait outside or in the car,"Combination treatment, including pharmacotherapy/manualized psychotherapies",divalproex,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,11
2022-08-04 07:07:57,2022-08-04 07:17:05,IP Address,130.189.175.144,100,548,True,2022-08-04 07:17:05,R_3MnHMMWWquTdKS2,,,,,43.6444,-72.2455,qr,EN,Click here if you consent to participate in the research study,1st Year Fellow,,26-32,Male,,White,,Middle Eastern,,English,,Moderate amount,Some,Somewhat knowledgable,How to best figure out available services to our population,"Anxiety, Depression, & Trauma-Related Disorders","Making proactive changes on the primary level to better support patients ","Understanding the differences in experience and understand is important for education and their particular needs ","In order to receive IDD services, the person must have a diagnosed intellectual or developmental disability, and must have impaired adaptive functioning","Pain (ex: dental, ear),Cardiovascular disease,GI problems (ex: constipation, GERD)","Medical/biological issues should be ruled out first,Some genetic disorders can cause increased risk of mental health or medical issues,Constipation, dental pain and gastroesphogeal reflux are common medical causes of aggression that should be considered,Behavior is a form of communication",Talking to inanimate objects,"Auditory hallucinations that are intrusive and distressing,Change from baseline behavior","Providing care tailored to a persons particular needs of a person and their families understanding of the patients illness ","Ask your patient exploratory questions,Ask questions other than that directly pertain to the reason for the visit",Give the patient the option to wait outside or in the car,"Combination treatment, including pharmacotherapy/manualized psychotherapies","quetiapine,aripiprazole,risperidone",Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,14
2022-08-04 07:07:42,2022-08-04 07:17:14,IP Address,130.189.175.148,100,572,True,2022-08-04 07:17:15,R_1FA0IsF4eZ5WNZM,,,,,43.6444,-72.2455,qr,EN,Click here if you consent to participate in the research study,3rd Year Resident,,26-32,Male,,White,,Non-Hispanic,,English,,Some,Very little,Somewhat knowledgable,Nonpharm recommendations to make in outpatient setting to individuals with ? Low level IDD,"Anxiety, Depression, & Trauma-Related Disorders",Medicine practiced in coordination with patient preferences aimed at quality of life,It impacts outcomes,"In order to receive IDD services, the person must have a diagnosed intellectual or developmental disability, and must have impaired adaptive functioning,Medical providers may need to engage family members and other caregivers in the patient’s care,The person’s case manager/service coordinator from the developmental disabilities service agency could be helpful at medical appointments","Neurological disorder(s),Pain (ex: dental, ear),GI problems (ex: constipation, GERD)","Medical/biological issues should be ruled out first,Some genetic disorders can cause increased risk of mental health or medical issues,Constipation, dental pain and gastroesphogeal reflux are common medical causes of aggression that should be considered,Behavior is a form of communication",Staring into space,"talking to themselves, monologue,Auditory hallucinations that are intrusive and distressing,Change from baseline behavior,Covering ears/eyes",Communicating with patient about how their culture should impact the treatment relationship,"Ask your patient exploratory questions,Ask questions other than that directly pertain to the reason for the visit",Get a copy of their behavior plan for the next time they are in your office,An extensive review of previous diagnoses and treatment,"lithium,quetiapine,divalproex,aripiprazole,risperidone",Somewhat Agree,Somewhat Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,20
2022-08-04 07:10:31,2022-08-04 07:17:22,IP Address,130.189.175.152,100,411,True,2022-08-04 07:17:22,R_3Odh92bYpgU04XG,,,,,43.6444,-72.2455,qr,EN,Click here if you consent to participate in the research study,1st Year Fellow,,26-32,Female,,Asian Indian,,Non-Hispanic,,English,,Very little,Very little,Slightly knowledgeable,Providing resources to family,"Anxiety, Depression, & Trauma-Related Disorders",Preventive medicine,"To provide care tailored to the specific needs of individuals ","In order to receive IDD services, the person must have a diagnosed intellectual or developmental disability, and must have impaired adaptive functioning,Medical providers may need to engage family members and other caregivers in the patient’s care,The person’s case manager/service coordinator from the developmental disabilities service agency could be helpful at medical appointments","Neurological disorder(s),Pain (ex: dental, ear),Cardiovascular disease","Medical/biological issues should be ruled out first,Some genetic disorders can cause increased risk of mental health or medical issues,Behavior is a form of communication",Running away,"talking to themselves, monologue,Auditory hallucinations that are intrusive and distressing,Change from baseline behavior",Taking into consideration a person's background and cultural beliefs and including them in treatment formulation,"Ask your patient exploratory questions,Ask questions other than that directly pertain to the reason for the visit",Give the patient the option to wait outside or in the car,"Extensive, long-term behavior modification treatment",aripiprazole,Somewhat Disagree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,15
2022-08-04 07:08:00,2022-08-04 07:18:24,IP Address,130.189.175.152,100,623,True,2022-08-04 07:18:24,R_3J1WZa4Qt6tnDDO,,,,,43.6444,-72.2455,qr,EN,Click here if you consent to participate in the research study,3rd Year Resident,,26-32,Male,,White,,Non-Hispanic,,English,,Very little,Very little,Slightly knowledgeable,"No questions currently ","Anxiety, Depression, & Trauma-Related Disorders","Using medicine to optimize ","So that we don’t pathologize everything ","In order to receive IDD services, the person must have a diagnosed intellectual or developmental disability, and must have impaired adaptive functioning,Medical providers may need to engage family members and other caregivers in the patient’s care,The person’s case manager/service coordinator from the developmental disabilities service agency could be helpful at medical appointments","Neurological disorder(s),Pain (ex: dental, ear),GI problems (ex: constipation, GERD)","Medical/biological issues should be ruled out first,Some genetic disorders can cause increased risk of mental health or medical issues,Constipation, dental pain and gastroesphogeal reflux are common medical causes of aggression that should be considered,Behavior is a form of communication",Talking to inanimate objects,having an imaginary friend,"Being culturally humble is better in my opinion because I don’t feel that I’ll ever be culturally competent within every unique culture that I encounter ","Ask your patient exploratory questions,Ask questions other than that directly pertain to the reason for the visit","Get a copy of their behavior plan for the next time they are in your office,Give the patient the option to wait outside or in the car","Extensive, long-term behavior modification treatment",lithium,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,13
2022-08-04 07:10:38,2022-08-04 07:19:11,IP Address,130.189.175.200,100,512,True,2022-08-04 07:19:11,R_2EFcHrbgKwuP7Si,,,,,43.6444,-72.2455,anonymous,EN,Click here if you consent to participate in the research study,4th Year Resident,,33-40,Male,,White,,Non-Hispanic,,English,,Some,Very little,Slightly knowledgeable,"how do DSM-V categorical diagnoses apply to people who are developmentally, cognitively, and neurologically unique. ","Anxiety, Depression, & Trauma-Related Disorders",being positive," all people are deserving of care
","In order to receive IDD services, the person must have a diagnosed intellectual or developmental disability, and must have impaired adaptive functioning,Medical providers may need to engage family members and other caregivers in the patient’s care,All people with IDD receive the same array of services,The majority of people with IDD receive care in institutions,The person’s case manager/service coordinator from the developmental disabilities service agency could be helpful at medical appointments","Neurological disorder(s),Pain (ex: dental, ear),GI problems (ex: constipation, GERD)","Medical/biological issues should be ruled out first,Some genetic disorders can cause increased risk of mental health or medical issues,Constipation, dental pain and gastroesphogeal reflux are common medical causes of aggression that should be considered,Behavior is a form of communication",Talking to inanimate objects,"Auditory hallucinations that are intrusive and distressing,Change from baseline behavior,Covering ears/eyes",appreciating unique cultural perspective,Ask your patient exploratory questions,"Get a copy of their behavior plan for the next time they are in your office,Defer to the person’s caregiver",An extensive review of previous diagnoses and treatment,aripiprazole,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Strongly Agree,13
2022-08-04 07:08:13,2022-08-04 07:30:13,IP Address,130.189.157.41,100,1319,True,2022-08-04 07:30:13,R_1jeQkEHoZfSH4WP,,,,,43.6722,-72.3813,anonymous,EN,Click here if you consent to participate in the research study,3rd Year Resident,,26-32,Female,,White,,Non-Hispanic,,English,,Some,Very little,Somewhat knowledgable,how can i better care for people with IDD?,"Personality Disorders, Psychotic Disorders & Trauma-Related Disorders",the goal isn't just treatment of disease but optimizing someone's functioning,"b/c if you aren't aware of how neurodiversity impacts communication, relationships, etc you wont provide as good of care",Medical providers may need to engage family members and other caregivers in the patient’s care,"Leg pain,Pain (ex: dental, ear),Kidney Disease","Medical/biological issues should be ruled out first,Some genetic disorders can cause increased risk of mental health or medical issues,Constipation, dental pain and gastroesphogeal reflux are common medical causes of aggression that should be considered,Behavior is a form of communication",Talking to inanimate objects,Auditory hallucinations that are intrusive and distressing,being aware of how culture impacts care,"Ask your patient exploratory questions,Ask questions other than that directly pertain to the reason for the visit","Get a copy of their behavior plan for the next time they are in your office,Defer to the person’s caregiver","Combination treatment, including pharmacotherapy/manualized psychotherapies","lithium,quetiapine,asenapine,risperidone",Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,8
2022-09-06 05:11:12,2022-09-06 05:17:35,IP Address,73.16.79.51,100,383,True,2022-09-06 05:17:36,R_3QRSoqeV2yc0zdT,,,,,43.6614,-72.0309,anonymous,EN,Click here if you consent to participate in the research study,1st Year Resident,,26-32,Male,,White,,Non-Hispanic,,English,,Some,None,Slightly knowledgeable,Curious to the focus and how medication management changes,"Personality Disorders, Psychotic Disorders & Trauma-Related Disorders",Medicine that is provided to someone to improve their functioning,So that we recognize different approaches may be necessary for different patients,"In order to receive IDD services, the person must have a diagnosed intellectual or developmental disability, and must have impaired adaptive functioning,Medical providers may need to engage family members and other caregivers in the patient’s care,The person’s case manager/service coordinator from the developmental disabilities service agency could be helpful at medical appointments","Pain (ex: dental, ear),Cardiovascular disease,GI problems (ex: constipation, GERD)","Some genetic disorders can cause increased risk of mental health or medical issues,Constipation, dental pain and gastroesphogeal reflux are common medical causes of aggression that should be considered,Behavior is a form of communication",Increased repetitive speech and movement,"talking to themselves, monologue,Auditory hallucinations that are intrusive and distressing,Change from baseline behavior,Covering ears/eyes",Care that takes into account the patients cultural perspective and includes it in the conversation,"Ask your patient exploratory questions,Ask questions other than that directly pertain to the reason for the visit","Defer to the person’s caregiver,Give the patient the option to wait outside or in the car",An extensive review of previous diagnoses and treatment,"lithium,quetiapine,divalproex,aripiprazole",Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,18
2022-09-06 07:29:01,2022-09-06 07:40:39,IP Address,209.134.33.71,100,697,True,2022-09-06 07:40:39,R_2xVGNC1gPruHG9m,,,,,43.5668,-72.4172,qr,EN,Click here if you consent to participate in the research study,1st Year Resident,,26-32,Male,,White,,Non-Hispanic,,English,,Very little,Very little,Slightly knowledgeable,What specific resources are available to this particular population?,"Anxiety, Depression, & Trauma-Related Disorders","Holistic medicine that takes into account the whole person to improve outcomes and reduce negative outcomes  ","Medical professionals serve a diverse population, and each member of that population deserves appropriate and knowledgeable care ","In order to receive IDD services, the person must have a diagnosed intellectual or developmental disability, and must have impaired adaptive functioning,Medical providers may need to engage family members and other caregivers in the patient’s care,The person’s case manager/service coordinator from the developmental disabilities service agency could be helpful at medical appointments","Pain (ex: dental, ear),Cardiovascular disease,GI problems (ex: constipation, GERD)","Medical/biological issues should be ruled out first,Some genetic disorders can cause increased risk of mental health or medical issues,Constipation, dental pain and gastroesphogeal reflux are common medical causes of aggression that should be considered,Behavior is a form of communication",Staring into space,"talking to themselves, monologue,Auditory hallucinations that are intrusive and distressing,Change from baseline behavior,Covering ears/eyes","Care provided by providers that take into account the community they serve and the stories of their patients and how their lives and background affect their current presentations ","Ask your patient exploratory questions,Ask questions other than that directly pertain to the reason for the visit","Get a copy of their behavior plan for the next time they are in your office,Defer to the person’s caregiver,Give the patient the option to wait outside or in the car","Combination treatment, including pharmacotherapy/manualized psychotherapies","lithium,quetiapine,divalproex",Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,18
2022-09-06 08:26:17,2022-09-06 08:30:47,IP Address,130.189.175.200,100,270,True,2022-09-06 08:30:48,R_1remsk03fET3my3,,,,,43.6444,-72.2455,anonymous,EN,Click here if you consent to participate in the research study,2nd Year Resident,,33-40,Male,,White,,Non-Hispanic,,English,,Very little,None,Not knowledgeable at all,Don't know enough to ask an intelligent question!,"Depression, Psychotic Disorders, & Schizophrenia",Not sure.,Clearly would impact the frame of reference of the patient and perhaps what my goals of care are for that individual.,Medical providers may need to engage family members and other caregivers in the patient’s care,"Neurological disorder(s),Pain (ex: dental, ear),GI problems (ex: constipation, GERD)","Medical/biological issues should be ruled out first,Constipation, dental pain and gastroesphogeal reflux are common medical causes of aggression that should be considered,Behavior is a form of communication",Staring into space,"talking to themselves, monologue,Auditory hallucinations that are intrusive and distressing,Change from baseline behavior,Covering ears/eyes",Culture-Informed shared decision making with the patient at the center.,"Ask your patient exploratory questions,Ask questions other than that directly pertain to the reason for the visit",Give the patient the option to wait outside or in the car,"Extensive, long-term behavior modification treatment",lithium,Somewhat Agree,Somewhat Disagree,Strongly Agree,Somewhat Disagree,Strongly Disagree,15
2022-09-06 07:40:05,2022-09-06 08:31:21,IP Address,198.55.239.15,100,3076,True,2022-09-06 08:31:21,R_1nOvJoNc8NRRwYQ,,,,,43.7931,-72.1727,anonymous,EN,Click here if you consent to participate in the research study,1st Year Resident,,26-32,Female,,White,,Non-Hispanic,,English,,Some,Very little,Slightly knowledgeable,What services are available to those with IDD-MH conditions?,"Anxiety, Depression, & Trauma-Related Disorders",medicine focused on goal-setting and improvement,in order to provide equitable treatment and resources to diverse populations and recognize the unique needs of diverse populations,"In order to receive IDD services, the person must have a diagnosed intellectual or developmental disability, and must have impaired adaptive functioning,Medical providers may need to engage family members and other caregivers in the patient’s care,The person’s case manager/service coordinator from the developmental disabilities service agency could be helpful at medical appointments","Neurological disorder(s),Pain (ex: dental, ear),Cardiovascular disease","Medical/biological issues should be ruled out first,Constipation, dental pain and gastroesphogeal reflux are common medical causes of aggression that should be considered,Behavior is a form of communication",Talking to inanimate objects,Auditory hallucinations that are intrusive and distressing,care that takes into account a patient's unique bio-psycho-social environment,"Ask your patient exploratory questions,Ask questions other than that directly pertain to the reason for the visit","Get a copy of their behavior plan for the next time they are in your office,Give the patient the option to wait outside or in the car","Extensive, long-term behavior modification treatment","lithium,quetiapine,risperidone",Somewhat Disagree,Strongly Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,14
2022-09-06 08:49:45,2022-09-06 08:51:35,IP Address,73.149.42.69,52,110,False,2022-09-13 08:51:37,R_3KxN789IB1vGlGg,,,,,,,anonymous,EN,Click here if you consent to participate in the research study,1st Year Resident,,26-32,Male,,Asian,,Non-Hispanic,,English,,Very little,Very little,Not knowledgeable at all,"interaction differences, if any, with people with autism",,,,,,,,,,,,,,,,,,,
2022-09-15 11:45:42,2022-09-15 11:54:29,IP Address,64.222.162.82,100,527,True,2022-09-15 11:54:30,R_3KrOSzHoX3NhzOj,,,,,42.8951,-72.0534,anonymous,EN,Click here if you consent to participate in the research study,PA Student,,18-25,Female,,White,,Non-Hispanic,,English,,Very little,Very little,Not knowledgeable at all,"How do you make sure the needs of those with intellectual and developmental disabilities are being met, while still maintaining their autonomy?","Anxiety, Depression, & Trauma-Related Disorders","Medicine that focuses on what people can do, rather than what they cannot.","So many people are neurodiverse! Neurodiversity must be acknowledged, so that we can adjust our practice appropriately, and provide the best patient care possible.","In order to receive IDD services, the person must have a diagnosed intellectual or developmental disability, and must have impaired adaptive functioning,Medical providers may need to engage family members and other caregivers in the patient’s care,The person’s case manager/service coordinator from the developmental disabilities service agency could be helpful at medical appointments","Pain (ex: dental, ear),Cardiovascular disease,GI problems (ex: constipation, GERD)","Medical/biological issues should be ruled out first,Some genetic disorders can cause increased risk of mental health or medical issues,Constipation, dental pain and gastroesphogeal reflux are common medical causes of aggression that should be considered,Behavior is a form of communication",Talking to inanimate objects,"talking to themselves, monologue,having an imaginary friend,Auditory hallucinations that are intrusive and distressing","Patient care that takes into account patients' cultural backgrounds, as to determine a care plan that respectives the patients' cultural values and practices.","Ask your patient exploratory questions,Ask questions other than that directly pertain to the reason for the visit","Get a copy of their behavior plan for the next time they are in your office,Defer to the person’s caregiver,Give the patient the option to wait outside or in the car","Extensive, long-term behavior modification treatment","lithium,aripiprazole,risperidone",Somewhat Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Somewhat Agree,14
2022-09-16 14:23:32,2022-09-16 14:32:14,IP Address,64.222.162.82,100,522,True,2022-09-16 14:32:15,R_xzTfeGzo4psZ4Mp,,,,,42.8951,-72.0534,anonymous,EN,Click here if you consent to participate in the research study,PA Student,,18-25,Female,,White,,Non-Hispanic,,English,,Very little,None,Not knowledgeable at all,Why hasn't this been incorporated into our current curriculum already?,"Anxiety, Depression, & Trauma-Related Disorders",therapeutics that have a beneficial result,It is important to understand the differences between people and how certain mental health issues can present differently/more often in various people.,Medical providers may need to engage family members and other caregivers in the patient’s care,"Neurological disorder(s),Cardiovascular disease,GI problems (ex: constipation, GERD)","Medical/biological issues should be ruled out first,Some genetic disorders can cause increased risk of mental health or medical issues,Constipation, dental pain and gastroesphogeal reflux are common medical causes of aggression that should be considered,Behavior is a form of communication",Withdrawal,"talking to themselves, monologue,having an imaginary friend,Unusual interests,Change from baseline behavior,Covering ears/eyes",the ability to understand the culture of the people in which you provide care for and take that into consideration when providing care.,"Ask your patient exploratory questions,Ask questions other than that directly pertain to the reason for the visit",Give the patient the option to wait outside or in the car,"Extensive, long-term behavior modification treatment","lithium,paliperidone,risperidone",Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,12
2022-09-17 09:01:57,2022-09-17 09:20:52,IP Address,98.216.155.245,100,1134,True,2022-09-17 09:20:52,R_3JenJ04aBYmaYt6,,,,,43.6448,-72.2971,anonymous,EN,Click here if you consent to participate in the research study,PA Student,,26-32,Female,,White,,Non-Hispanic,,English,,Very little,Very little,Slightly knowledgeable,What are some effective ways at interfacing with people with intellectual and developmental disabilities and co-occurring mental health conditions?,"Anxiety, Depression, & Trauma-Related Disorders",Positive medicine aims to help people manage illness and disease and enhance their health.,Recognition of neurodiversity is important in medical care because it helps us treat the person not just the disease.,"In order to receive IDD services, the person must have a diagnosed intellectual or developmental disability, and must have impaired adaptive functioning,Medical providers may need to engage family members and other caregivers in the patient’s care,The person’s case manager/service coordinator from the developmental disabilities service agency could be helpful at medical appointments","Neurological disorder(s),Asthma,Pain (ex: dental, ear),GI problems (ex: constipation, GERD)","Some genetic disorders can cause increased risk of mental health or medical issues,Constipation, dental pain and gastroesphogeal reflux are common medical causes of aggression that should be considered",Talking to inanimate objects,"Auditory hallucinations that are intrusive and distressing,Change from baseline behavior",Cultural competence is the ability of healthcare providers to effectively deliver health care services and individualized quality care that meet the social and cultural needs of patients of all backgrounds.,"Ask your patient exploratory questions,Talk to, and engage with, the patients’ caregiver rather than the patient themselves,Ask questions other than that directly pertain to the reason for the visit","Get a copy of their behavior plan for the next time they are in your office,Give the patient the option to wait outside or in the car","Extensive, long-term behavior modification treatment","lithium,quetiapine,divalproex,asenapine,aripiprazole,paliperidone,risperidone,cariprazine",Somewhat Disagree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,13
